id	filename	md5	size	state
a74cb230-2b7e-4544-bcf3-ec7bb8820d08	TCGA-68-8250-01Z-00-DX1.a8669a85-9262-4c37-b61c-ca7019a3677c.svs	077510cbb46e9d083d8de1a26790c46b	1108701421	released
2e826610-c9c8-4cbc-a664-61d152a113ee	TCGA-NK-A5D1-01Z-00-DX1.CE05BFD3-F0C6-4440-AD09-8569D2BB89FA.svs	5bda924b7c9b35d539cd223e30cb5756	2957790413	released
506a823f-ba96-4480-af0e-32960e77fb6b	TCGA-85-A513-01Z-00-DX1.9C4C6BA2-BBEB-4EC6-9A70-65B1F6198E1F.svs	f8838e66a072bd5351827ddcef045a52	560518689	released
3357f077-5581-43ac-8f07-c90c02ea4dc7	TCGA-66-2780-01Z-00-DX1.895b75f9-6127-49f9-8106-0161b5de18ec.svs	5c26a0f205e1a66b4478c20f826bd2a6	243062837	released
66069746-c7c6-4602-8f5c-fcc9d76f1623	TCGA-90-A4ED-01Z-00-DX1.4F9CF7EC-D7CC-4AF6-A9C2-6BA7A02A9F84.svs	21488f2d5bdf9646382bb167d85d0757	331188785	released
d9b8e340-1a89-4753-a096-52564797c4dc	TCGA-77-8148-01Z-00-DX1.2066e518-636c-4917-9dd4-78ab3605e8f6.svs	50d0fb073950997fca2fab03f0933d5b	584288493	released
1eede4a8-b8d2-487b-ab79-9abe6cc05462	TCGA-85-A53L-01Z-00-DX1.4B1C0D74-CF56-4B52-9EA0-9DC72EA07B1C.svs	28277ba1d0c5cc553a7957a555a4a1fa	2099898355	released
88ff6764-04cc-41b5-af62-e14034ce35d2	TCGA-85-A4CL-01Z-00-DX1.05BC31FF-3B88-489F-9BD2-5B2B31C72EDB.svs	725b8b01be8b7eb34f58cba2927477f1	744667533	released
c60988bb-ef3c-48bd-aba6-6716f5697690	TCGA-85-8479-01Z-00-DX1.28fef288-9691-47dd-ad51-b2dc0cd84832.svs	87d75a0db4eb66172738e6acfad67de4	209855369	released
e3124b38-03d7-4c6d-b419-1332014b04a4	TCGA-85-A50Z-01Z-00-DX1.A8911EBB-EAB6-4787-9F6E-3E8A9F1078F3.svs	2172c738886a72d2f56cb9dee8d48fdd	1315543923	released
4de59d57-e818-479e-aa96-6dfddf05afb6	TCGA-39-5030-01Z-00-DX1.09d96fb6-9a19-40ae-967e-49f378340f9b.svs	7afe93d85cba9ccef1513d51e672c0d6	313215425	released
40365d79-8999-460e-9aa2-000693ffa43f	TCGA-NC-A5HT-01Z-00-DX1.9295B0E3-37FE-4914-AFB3-78B56C893B6D.svs	7a223a8b348e333ab8c338cbb649e893	2098702899	released
8516092d-d1cf-42d2-a148-b3ba7dd56d95	TCGA-56-7823-01Z-00-DX1.354861d2-79f1-4b70-a74e-20cb0f78468e.svs	6a554d50b219863550532d45ebc7d77a	198453463	released
4dbc6edd-5efb-4863-bf05-ef9f22def98a	TCGA-63-A5MV-01Z-00-DX1.72B97C7E-0AE9-468B-9E85-C98BA40CBBCB.svs	6728264e727f24e8ec30becab75d0ae4	161587648	released
9cec6593-b07b-4d39-9c9c-06128d3f6548	TCGA-56-8304-01Z-00-DX1.F7A7975D-C8AB-49C0-B9CD-18CFD01A0655.svs	ef5006af203f46fc9cd1057cdb47e3fe	364658970	released
f9cb04c8-3821-40e5-8ad4-57bd6d66489c	TCGA-NC-A5HL-01Z-00-DX1.E40E17C1-42BA-4C02-AA01-0E2891B3174A.svs	4d10e6c8e74c816aa43bba5d5c45db62	975478779	released
7a0bf6b7-c57b-41f6-9f20-76b1948a0aea	TCGA-34-2596-01Z-00-DX1.be778d17-d06c-4300-aaf1-c0acbef8fa41.svs	321d550167b46db5c5b03a8c493a0554	1344411365	released
4bf5d80f-af5f-44a5-b3b2-d0f35a9284de	TCGA-66-2794-01Z-00-DX1.933c35d1-b63f-44ba-928a-1f49c7fbc452.svs	2241eb2ebd4ab0d85c80ced5cd81e0dd	263696803	released
caf4749e-4655-45b4-8713-a1f8e66879f1	TCGA-33-4532-01Z-00-DX2.cd6e3f47-14fd-46e4-baf8-2e682ade44d1.svs	8341a77648abc397a3c9c0944edc71cd	869434725	released
608e2269-04b4-4a20-aca8-d20f36800cc3	TCGA-60-2714-01Z-00-DX1.13f280a8-c8d3-48bb-8a38-49ce9ad9e1a2.svs	f6c5582eb0a1df715355c7e33adb6d86	637273841	released
1c9841bd-f6ec-4be6-be4e-ae5d07a724c3	TCGA-34-5928-01Z-00-DX1.d336efc9-3ebb-4457-a81b-1e448781f999.svs	29534b0dca2a8f9a42c9cc7121caccc3	968392057	released
97dc4a13-09c6-4093-9b3d-becbbdd8944b	TCGA-90-A59Q-01Z-00-DX1.9F4ABA20-E9F7-4524-874E-E8C42D84AFFE.svs	53a0401db934a070c0918651edc65600	242215569	released
bfb3b60d-59ea-453c-bf4d-1a1cc6bb4135	TCGA-94-8490-01Z-00-DX1.5A44A8C6-38F4-47A4-80C6-7BB805E9116C.svs	6a283eebfa6b7552ce5429dd7caa1650	1697454956	released
d1dc4d16-e552-48bf-9fdf-4fcb072527c6	TCGA-85-6560-01Z-00-DX1.bf857c85-ebe7-4135-a4ec-038a57efc319.svs	00a39d93cdd4782fee84eb53694a68db	296076179	released
7ca372f7-3f63-4253-929f-a19e6ab5635b	TCGA-60-2716-01Z-00-DX1.28642302-a114-4e80-b9db-c04eee7d92d8.svs	606ade2fb173ca3bc61f1a9aa437a055	754250761	released
1ca04dfb-a08a-4720-9f35-90e76885beda	TCGA-63-A5MU-01Z-00-DX1.C80B700E-D924-4A6F-AC8E-D9C91D452A57.svs	b5ba95e6f620914589fa2ffd265db568	234182016	released
dc947d18-9f5f-485a-8873-0bae9666a059	TCGA-56-A62T-01Z-00-DX1.05B9E747-DF22-4FFB-A79A-C023AB667CA0.svs	e2067fbdf0d4b72695f0363ffc58a89f	271022740	released
de5f6551-b83b-41c3-85a8-62964070e511	TCGA-77-8130-01Z-00-DX1.e9f78b45-ed59-4e80-83c2-c6d5bb68e622.svs	aa8d0114c2a03a98966a309a129cda4e	671266943	released
922ee2a8-9092-4cbf-878e-9d83b289d2af	TCGA-77-8145-01Z-00-DX1.9d76de05-3cb7-4cd8-879b-11ea7f88d583.svs	9799230670a5b89046d9796d4485fcd3	1295842221	released
5ca1e5a0-1df9-4261-9ab2-ebb9a8d85d95	TCGA-92-7340-01Z-00-DX1.e0b0240c-9b6c-4da9-b9cb-bc634051fc45.svs	eed8b6f16aa7a74fa0ff66aabc472f0d	935215409	released
99b183c3-e71f-4d57-a56e-faa11d88270b	TCGA-56-7730-01Z-00-DX1.6f127663-c517-4b5d-99a6-a3cd314304b1.svs	944c8cff28f4193db21ddbb966918226	396351083	released
4ac35f83-1835-402e-822d-2737eece471f	TCGA-51-4080-01Z-00-DX1.fd660ce3-3e30-4907-b54a-81002ec071f2.svs	c17c26dc3a6192a3c00962dd97dca306	978395175	released
cdc5cc82-a0c9-40a8-ae86-b1b312a261b9	TCGA-NC-A5HK-01Z-00-DX1.9CC2445A-D1EA-4E6E-96CF-710D2CDA073B.svs	3f598fa1c0697ce5c53e291bd45b7cc7	2581275517	released
930e8f8e-7bfd-4b9c-b91f-7e6607668028	TCGA-22-A5C4-01Z-00-DX1.54058689-5CA5-4F92-B18A-86208C24C87D.svs	10e366c14faa9b2af7920d05f0158c72	1663844325	released
