id	filename	md5	size	state
86ce663f-9823-4582-8ed9-898cae3edf9f	adac63c6-4b21-41bd-8388-bff13231d2b1.rna_seq.augmented_star_gene_counts.tsv	5aafd68f8b8fb4be326582c53e61539e	4252898	released
cac5bca1-92c4-4f80-85eb-c6df5741a263	90dfdb4c-21ab-4a5b-908a-c7b7419d424e.rna_seq.augmented_star_gene_counts.tsv	28b8e7509423c4c45f047fdb9b4eb116	4247945	released
f9cd1c16-3be3-415c-8d7b-9249c3b1c7fa	1a4e4c95-9614-445d-bc02-e0855ccbde11.rna_seq.augmented_star_gene_counts.tsv	1c6c53e29bd55bc3ca7f8d0e55ca8ca9	4242841	released
0614c3dd-673e-4dd4-9c5b-4311176b34d1	26e083d8-9d89-440c-a98e-22ce75265eff.rna_seq.augmented_star_gene_counts.tsv	89864aeb6cdd077016a403b1dcaa5b80	4231367	released
31f07873-2605-4964-92ee-d93616655ef8	a77e253d-d9c6-4803-87aa-af6169b5546c.rna_seq.augmented_star_gene_counts.tsv	9d1b17706cb7f050142ca1da38d85de2	4235718	released
5bea52d9-2898-404f-ba71-ffc845d1b226	50f7bf08-3f8b-492b-afdc-40b4f35060bf.rna_seq.augmented_star_gene_counts.tsv	bf51002e45fe101175b0302b0cbbbb23	4243390	released
10cdb0af-b041-41fa-820e-8464a05cb20d	7e4e1851-367d-4517-bac5-d24d23397b2d.rna_seq.augmented_star_gene_counts.tsv	ad3544a556d258c1a51c30ab1fe26399	4224039	released
e63161c7-b824-4056-8eae-682861e88edb	8175545d-b1a7-472e-aa7f-23adaece2ccd.rna_seq.augmented_star_gene_counts.tsv	1882f20fbd9b7486607d03922254c5b3	4242785	released
c10c6664-2b6f-4486-ae42-d754656c2538	3b9e1cd6-7b59-4a05-a896-9789b317741c.rna_seq.augmented_star_gene_counts.tsv	78a204ea38c6d3ece4de2705c42d646c	4249064	released
afcab3fd-65b3-463a-86c7-ca84d580db00	0aa2c4f2-1b47-4ecb-9923-7e79471db6bb.rna_seq.augmented_star_gene_counts.tsv	cc23ca246b7def99e9dac9b87be46c1d	4239970	released
3c03e4c3-c684-40c4-9d0f-9f6e36493ae1	e10c5b73-6716-4222-acba-de1116432daa.rna_seq.augmented_star_gene_counts.tsv	53f0457f0a4312dc317dfb5b58ee1125	4251223	released
c65132d7-6682-423e-a972-0e0b499275b4	924217b0-1e3e-4c5d-91fb-69fd5831532b.rna_seq.augmented_star_gene_counts.tsv	04fdb8474e7d3f62327e673d5d03673c	4236174	released
5f656efa-0043-40d4-9276-37971aaf7774	166c4776-e8e3-408b-8320-e65ce57ccd8d.rna_seq.augmented_star_gene_counts.tsv	dffdb2d7a6b0f5589aada30e5185a234	4250017	released
425145f9-793b-4bc6-95cb-74352edee797	754a7a1e-3372-4c8a-b13b-b534cfe84968.rna_seq.augmented_star_gene_counts.tsv	bc7bce8272a8f93019cd1136bc46093c	4266360	released
4fa865be-49fe-48f8-9e87-e09168572af4	2830f392-1aeb-4556-9171-8eada8761cc8.rna_seq.augmented_star_gene_counts.tsv	3ce25c891dbcb22f7ff47f0a145ad547	4235570	released
afa54e2a-f119-4729-9db4-9b98ba17ac44	1e8317d1-4bf5-4205-a280-1b7a6baa5d29.rna_seq.augmented_star_gene_counts.tsv	10923e7cb6ff1e119fb46f16f6a6392f	4239012	released
000b6b94-572d-4d06-a8f4-2e43829f83d4	e74f321c-217f-4bdc-ad17-f132501b5157.rna_seq.augmented_star_gene_counts.tsv	d83b0cf538490cded6fc6de3b8e3ac31	4249732	released
6e6328d3-251d-4b16-8990-2b43623a99c5	8bf414c0-2db5-414c-b5f2-f3f6a5ce667e.rna_seq.augmented_star_gene_counts.tsv	686e8bd9381aae0d8014249e75df9a01	4234165	released
ae6c036e-8e10-498c-90dd-7eba6a20e7a1	efe530d5-b143-468b-a386-bbe052b12213.rna_seq.augmented_star_gene_counts.tsv	130d03df71ead4f2823440faf42edddd	4230263	released
e24c79d8-899c-48bd-8a20-0a848cdb9993	c1a63ccc-f2a3-48eb-b010-09727bf16e43.rna_seq.augmented_star_gene_counts.tsv	d01cd6ebabfe18936774b1067d812674	4231842	released
